Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 6.407716274261475, 'y': 4.619490623474121, 'theta': -1.4037630558013916, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.41306209564209, 'y': 4.593922138214111, 'theta': -1.3646953105926514, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.419402122497559, 'y': 4.568582057952881, 'theta': -1.3256275653839111, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.426727294921875, 'y': 4.543508529663086, 'theta': -1.286559820175171, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.435026168823242, 'y': 4.518740177154541, 'theta': -1.2474920749664307, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.444285869598389, 'y': 4.494315147399902, 'theta': -1.2084243297576904, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.454492568969727, 'y': 4.47027063369751, 'theta': -1.1693565845489502, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.465631008148193, 'y': 4.446642875671387, 'theta': -1.13028883934021, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.4776835441589355, 'y': 4.423468112945557, 'theta': -1.0912210941314697, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.490632057189941, 'y': 4.400781631469727, 'theta': -1.0521533489227295, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.504456520080566, 'y': 4.378618240356445, 'theta': -1.0130856037139893, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.519136428833008, 'y': 4.3570122718811035, 'theta': -0.9740179181098938, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.534648895263672, 'y': 4.335995674133301, 'theta': -0.9349501729011536, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.550970077514648, 'y': 4.315600872039795, 'theta': -0.8958824276924133, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.568075656890869, 'y': 4.295859336853027, 'theta': -0.8568146824836731, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.585939407348633, 'y': 4.276801109313965, 'theta': -0.8177469372749329, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.604533672332764, 'y': 4.2584547996521, 'theta': -0.7786791920661926, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.623830318450928, 'y': 4.240849018096924, 'theta': -0.7396115064620972, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.643800258636475, 'y': 4.224009990692139, 'theta': -0.7005437612533569, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.664412021636963, 'y': 4.2079644203186035, 'theta': -0.6614760160446167, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.685635089874268, 'y': 4.19273567199707, 'theta': -0.6224082708358765, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.707437038421631, 'y': 4.178347587585449, 'theta': -0.5833405256271362, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.72978401184082, 'y': 4.164822101593018, 'theta': -0.544272780418396, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.7526421546936035, 'y': 4.15217924118042, 'theta': -0.5052050352096558, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.771115779876709, 'y': 4.141570091247559, 'theta': -0.5213152170181274, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.7894158363342285, 'y': 4.130663871765137, 'theta': -0.5374253392219543, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.8075385093688965, 'y': 4.119464874267578, 'theta': -0.553535521030426, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.825477600097656, 'y': 4.107975482940674, 'theta': -0.5696456432342529, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.8432297706604, 'y': 4.096198081970215, 'theta': -0.5857558250427246, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.860789775848389, 'y': 4.084136486053467, 'theta': -0.6018659472465515, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.878153324127197, 'y': 4.071793556213379, 'theta': -0.6179761290550232, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.895315647125244, 'y': 4.059172630310059, 'theta': -0.6340862512588501, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.9122724533081055, 'y': 4.046276569366455, 'theta': -0.6501964330673218, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
Pose: [{'x': 6.929018974304199, 'y': 4.033109188079834, 'theta': -0.6663065552711487, 'linear_velocity': 1.3314651250839233, 'angular_velocity': -1.0068845748901367}]
